dia;mes;año ;hora costo marginal;
16;1;2015;1;82.62
16;1;2015;2;88.91
16;1;2015;3;82.58
16;1;2015;4;89.64
16;1;2015;5;95.43
16;1;2015;6;82.18
16;1;2015;7;89.71
16;1;2015;8;94.15
16;1;2015;9;161.38
16;1;2015;10;165.46
16;1;2015;11;168.8
16;1;2015;12;161.34
16;1;2015;13;168.8
16;1;2015;14;168.8
16;1;2015;15;168.8
16;1;2015;16;168.8
16;1;2015;17;161.34
16;1;2015;18;161.36
16;1;2015;19;161.34
16;1;2015;20;161.39
16;1;2015;21;94.49
16;1;2015;22;92.69
16;1;2015;23;94.49
16;1;2015;24;87.08
17;1;2015;1;86.53
17;1;2015;2;74.05
17;1;2015;3;72.14
17;1;2015;4;73.23
17;1;2015;5;73.19
17;1;2015;6;72.83
17;1;2015;7;73.06
17;1;2015;8;72.51
17;1;2015;9;74.57
17;1;2015;10;89.22
17;1;2015;11;89.22
17;1;2015;12;88.98
17;1;2015;13;89.22
17;1;2015;14;88.98
17;1;2015;15;88.98
17;1;2015;16;88.98
17;1;2015;17;74.62
17;1;2015;18;72.84
17;1;2015;19;88.98
17;1;2015;20;89.22
17;1;2015;21;89.22
17;1;2015;22;77.91
17;1;2015;23;73.17
17;1;2015;24;76.99
18;1;2015;1;73.66
18;1;2015;2;71.98
18;1;2015;3;72.41
18;1;2015;4;69.35
18;1;2015;5;72.77
18;1;2015;6;70.28
18;1;2015;7;71.77
18;1;2015;8;71.74
18;1;2015;9;73.2
18;1;2015;10;73.28
18;1;2015;11;88.98
18;1;2015;12;72.54
18;1;2015;13;72.09
18;1;2015;14;73.22
18;1;2015;15;71.07
18;1;2015;16;71.61
18;1;2015;17;88.98
18;1;2015;18;74.09
18;1;2015;19;75.82
18;1;2015;20;89.22
18;1;2015;21;87.79
18;1;2015;22;83.51
18;1;2015;23;89.93
18;1;2015;24;89.89
19;1;2015;1;68.64
19;1;2015;2;69.64
19;1;2015;3;67.79
19;1;2015;4;69.79
19;1;2015;5;66.31
19;1;2015;6;68.67
19;1;2015;7;70.73
19;1;2015;8;89.22
19;1;2015;9;89.22
19;1;2015;10;164.16
19;1;2015;11;158.57
19;1;2015;12;161.95
19;1;2015;13;158.57
19;1;2015;14;161.95
